Ticker,Name,SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
17390,서울가스,전기·가스,0.88,0.75,0.95,1.36,1.78,0.71,0.25,0.23,0.22,0.21,0.2,0.19,0.18,5.37,93.52,118.78,169.7,221.34,42.24,14.77,13.45,13.05,10.98,10.53,9.97,9.47
17480,삼현철강,금속,0.63,0.59,0.48,0.42,0.44,0.44,0.42,0.42,0.4,0.41,0.38,0.37,0.35,12.39,4.07,3.33,2.93,3.06,5.15,4.96,4.92,4.76,7.58,7.06,6.86,6.48
17510,세명전기,금속,0.9,0.89,0.77,0.66,0.63,0.67,0.62,0.57,0.57,1.02,1.32,1.01,1.16,30.22,28.2,24.24,20.66,19.9,22.29,20.6,18.82,19.0,58.18,75.27,57.62,66.22
17550,수산세보틱스,기계·장비,1.43,1.54,1.3,1.27,1.26,1.05,0.98,0.81,0.81,0.73,0.68,0.64,0.72,35.1,16.51,13.97,13.66,13.51,9.18,8.63,7.1,7.1,6.87,6.41,6.02,6.76
17650,대림제지,종이·목재,0.54,0.43,0.38,0.37,0.39,0.32,0.31,0.29,0.3,0.26,0.24,0.22,0.21,7.62,4.14,3.68,3.56,3.75,3.25,3.17,2.92,3.04,3.69,3.41,3.12,2.95
17670,SK텔레콤,통신,0.96,1.08,0.99,0.93,0.88,0.93,0.91,0.97,0.99,0.96,1.02,1.07,1.05,13.76,7.96,7.3,6.92,6.5,11.77,11.48,12.19,12.47,10.39,11.05,11.51,11.31
17800,현대엘리베이터,기계·장비,1.54,1.23,0.99,0.98,1.03,1.35,1.47,1.56,1.41,1.15,1.2,1.39,1.5,15.91,12.17,9.84,9.72,10.18,20.28,22.16,23.56,21.24,4.82,5.01,5.81,6.24
17810,풀무원,음식료·담배,1.56,1.36,1.13,0.96,0.94,1.06,1.04,1.05,1.03,1.58,1.46,1.24,1.63,41.83,47.9,39.69,33.85,32.96,,,,,53.38,49.59,42.11,55.17
17860,DS단석,화학,,,,,,,,3.87,2.28,0.83,0.61,2.43,1.88,,,,,,,,29.9,17.66,4.92,3.61,14.45,11.16
17890,한국알콜,화학,0.65,0.56,0.51,0.51,0.54,0.48,0.56,0.52,0.52,0.45,0.42,0.37,0.37,4.52,5.14,4.67,4.7,4.94,7.18,8.29,7.71,7.71,21.3,20.21,17.84,17.69
17900,광전자,전기·전자,0.86,0.64,0.56,0.53,0.54,0.6,0.56,0.45,0.55,0.47,0.43,0.39,0.39,,12.12,10.67,10.01,10.31,9.83,9.12,7.46,9.08,,,,
17940,E1,유통,0.27,0.21,0.2,0.2,0.21,0.2,0.22,0.24,0.25,0.25,0.26,0.26,0.23,4.49,2.12,1.99,1.99,2.07,2.04,2.28,2.46,2.59,1.91,2.02,1.98,1.75
17960,한국카본,금속,1.31,1.45,1.53,1.28,1.25,1.24,1.43,1.26,1.14,1.18,1.25,1.17,1.54,8.26,39.22,41.35,34.56,33.78,24.79,28.53,25.21,22.76,,,,
18000,유니슨,기계·장비,3.81,3.58,3.54,2.69,2.41,2.97,2.79,2.07,2.11,2.09,1.75,1.68,1.91,,,,,,,,,,,,,
18120,진로발효,음식료·담배,2.54,2.32,1.99,1.84,1.64,1.53,1.33,1.43,1.39,1.29,1.42,1.5,1.48,17.89,19.42,16.63,15.4,13.76,34.65,30.13,32.32,31.57,16.18,17.83,18.79,18.58
18250,애경산업,화학,1.44,1.34,1.06,1.19,1.42,1.6,1.7,1.45,1.22,1.43,1.25,1.02,0.9,41.53,29.57,23.25,26.13,31.2,34.69,36.76,31.35,26.47,11.17,9.71,7.97,6.97
18260,삼성에스디에스,IT 서비스,1.65,1.51,1.37,1.33,1.32,1.14,1.26,1.41,1.51,1.39,1.36,1.27,1.11,24.8,17.81,16.25,15.69,15.65,8.49,9.39,10.56,11.3,17.33,16.96,15.83,13.85
18290,브이티,화학,3.29,2.76,2.22,2.24,2.35,2.89,5.07,7.4,6.89,8.16,9.96,10.39,10.61,200.23,14.31,11.52,11.61,12.19,20.25,35.48,51.81,48.24,33.67,41.11,42.87,43.78
18310,삼목에스폼,금속,0.81,0.85,0.64,0.6,0.56,0.46,0.49,0.49,0.57,0.5,0.5,0.55,0.5,322.95,10.22,7.64,7.17,6.66,3.45,3.7,3.64,4.28,2.37,2.39,2.6,2.38
18470,조일알미늄,금속,1.77,1.62,1.52,1.69,1.73,2.06,1.94,1.44,1.38,1.48,1.18,1.03,1.04,,13.66,12.88,14.31,14.66,21.41,20.16,15.01,14.35,,,,
18500,동원금속,운송장비·부품,1.32,1.36,0.69,0.76,0.76,1.05,1.31,0.87,0.94,0.91,0.66,0.57,0.85,,,1.87,2.05,2.05,2.85,6.45,4.28,4.64,4.51,3.84,3.3,4.94
18620,우진비앤지,제약,1.85,2.02,1.91,1.64,1.41,1.27,1.1,1.02,0.96,0.98,0.91,0.83,0.78,,,,,,53.49,46.25,43.12,40.4,,,,
18670,SK가스,유통,0.57,0.52,0.48,0.5,0.51,0.48,0.49,0.58,0.58,0.58,0.6,0.68,0.81,3.97,4.43,4.11,4.26,4.34,4.39,4.45,5.3,5.31,4.75,4.93,5.57,6.62
18680,서울제약,제약,2.34,3.13,2.59,2.18,1.99,1.44,1.31,1.2,1.18,1.01,1.21,1.1,1.02,,,,,,46.0,41.93,38.41,37.74,11.08,13.22,12.04,11.2
18700,바른손,유통,3.29,1.64,1.29,1.21,1.25,1.44,1.17,1.01,0.98,1.18,0.96,0.9,0.74,,6.36,5.0,4.69,4.85,,,,,,,,
18880,한온시스템,기계·장비,2.95,2.49,2.34,1.87,2.03,2.21,2.17,1.76,1.5,1.19,0.96,0.9,0.95,56.59,18.95,17.81,14.19,15.41,243.72,238.97,193.84,165.56,54.88,44.54,41.69,44.11
19010,베뉴지,유통,0.39,0.31,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.26,0.27,0.28,0.26,9.91,2.26,2.14,2.08,2.11,,,,,6.04,6.22,6.46,6.0
19170,신풍제약,제약,4.62,4.18,3.79,3.21,2.91,2.74,2.64,2.02,1.99,2.51,2.48,2.14,1.8,312.36,,,,,,,,,,,,
19180,티에이치엔,전기·전자,1.15,0.81,0.69,0.76,0.76,0.79,0.7,0.65,0.73,0.59,0.54,0.51,0.5,,4.09,3.47,3.85,3.85,,,,,2.32,2.13,2.01,1.98
19210,와이지-원,금속,1.05,0.9,0.73,0.7,0.71,0.7,0.61,0.58,0.62,0.55,0.53,0.5,0.51,,12.07,9.8,9.38,9.53,6.71,5.76,5.49,5.93,7.69,7.39,7.06,7.17
